,Rank,Player Name,Team,Succesful,Errors,Attemps,Average per match,Success %,Total,Year
363,50,Čebulj,SLO,9,6,77,2.25,9.78,92,2022
364,51,Morteza,IRI,8,7,62,0.62,10.39,77,2022
365,51,Asparuhov,BUL,8,4,46,0.67,13.79,58,2022
366,51,Onodera,JPN,8,1,14,0.62,34.78,23,2022
367,51,Loser Bruno,ARG,8,0,13,0.67,38.10,21,2022
368,52,Eshenko,CAN,7,3,9,0.58,36.84,19,2022
369,52,Graham,AUS,7,2,9,0.58,38.89,18,2022
370,52,Bednorz,POL,7,8,33,1.00,14.58,48,2022
371,53,M.R.Moazzen,IRI,6,0,4,0.75,60.00,10,2022
372,53,Klobucar,SLO,6,4,18,0.75,21.43,28,2022
373,53,Kessel,USA,6,2,6,0.55,42.86,14,2022
374,53,Marinovic,SRB,6,3,28,1.50,16.22,37,2022
375,53,Howe,CAN,6,2,8,0.50,37.50,16,2022
376,53,Ogawa,JPN,6,2,23,0.46,19.35,31,2022
377,53,Cooper,CAN,6,3,19,0.86,21.43,28,2022
378,54,Zhang B.L.,CHN,5,3,24,0.50,15.62,32,2022
379,55,Jelveh,IRI,4,0,4,0.31,50.00,8,2022
380,55,Jendryk,USA,4,2,13,0.27,21.05,19,2022
381,55,Smith,USA,4,0,10,0.27,28.57,14,2022
382,55,Flavio,BRA,4,1,8,0.31,30.77,13,2022
383,55,Heptinstall,AUS,4,3,26,0.33,12.12,33,2022
384,56,Toukhteh,IRI,3,2,20,0.23,12.00,25,2022
385,56,Videčnik,SLO,3,0,1,0.38,75.00,4,2022
386,56,Grozdanov,BUL,3,1,0,0.75,75.00,4,2022
387,56,Parapunov,BUL,3,1,12,0.25,18.75,16,2022
388,56,Krage,GER,3,1,4,0.27,37.50,8,2022
389,56,O'Dea,AUS,3,0,8,0.25,27.27,11,2022
390,56,Lipinski,POL,3,0,12,0.75,20.00,15,2022
391,56,Kochanowski,POL,3,0,7,0.20,30.00,10,2022
392,56,Lima B.,ARG,3,4,8,0.25,20.00,15,2022
393,56,Chinenyeze,FRA,3,1,12,0.21,18.75,16,2022
394,56,Derouillon,FRA,3,3,16,0.21,13.64,22,2022
395,57,Yuan D.Y.,CHN,2,3,10,0.20,13.33,15,2022
396,57,Bošnjak,SLO,2,0,11,0.25,15.38,13,2022
397,57,Kolev,BUL,2,0,12,0.17,14.29,14,2022
398,57,Elser,CAN,2,4,12,0.50,11.11,18,2022
399,57,Sclater,CAN,2,4,32,0.17,5.26,38,2022
400,57,Van Berkel,CAN,2,1,13,0.17,12.50,16,2022
401,57,Krick,GER,2,0,6,0.18,25.00,8,2022
402,57,Maase,GER,2,1,14,0.22,11.76,17,2022
403,57,Keemink,NED,2,4,7,0.15,15.38,13,2022
404,57,Van Der Ent,NED,2,1,5,0.15,25.00,8,2022
405,57,Isac,BRA,2,0,3,0.15,40.00,5,2022
406,57,Maique,BRA,2,3,18,0.15,8.70,23,2022
407,57,Weir,AUS,2,1,4,0.25,28.57,7,2022
408,57,Kłos,POL,2,1,3,0.13,33.33,6,2022
409,57,Gallego,ARG,2,1,4,0.17,28.57,7,2022
410,57,Röhrs,GER,2,0,4,1.00,33.33,6,2022
411,57,Petric,SRB,2,2,21,0.25,8.00,25,2022
412,57,Daneshdoust,IRI,2,0,4,0.40,33.33,6,2022
413,58,Yu Y.C.,CHN,1,0,2,0.10,33.33,3,2022
414,58,Amin,IRI,1,0,3,0.08,25.00,4,2022
415,58,Kozamernik,SLO,1,0,7,0.08,12.50,8,2022
416,58,Koncilja,SLO,1,2,0,0.08,33.33,3,2022
417,58,Karyagin,BUL,1,0,0,0.08,100.00,1,2022
418,58,Gotsev,BUL,1,2,6,0.08,11.11,9,2022
419,58,Hofer,CAN,1,1,10,0.08,8.33,12,2022
420,58,Nishida,JPN,1,0,1,0.08,50.00,2,2022
421,58,Yamauchi,JPN,1,0,5,0.08,16.67,6,2022
422,58,Plak,NED,1,2,9,0.08,8.33,12,2022
423,58,Nimir,NED,1,0,13,0.08,7.14,14,2022
424,58,Parkinson,NED,1,0,4,0.08,20.00,5,2022
425,58,Vaccari,BRA,1,0,9,0.25,10.00,10,2022
426,58,Victor,BRA,1,1,1,0.25,33.33,3,2022
427,58,Szymura,POL,1,0,6,0.25,14.29,7,2022
428,58,Poręba,POL,1,0,1,0.12,50.00,2,2022
429,58,Zerba,ARG,1,0,6,0.08,14.29,7,2022
