,Rank,Player Name,Team,Points,Errors,Attempts,Average per match,Success %,Total,Year
228,108,TJ,CAN,1,0,4,0.12,20.00,5,2021
229,108,Javad,IRI,1,1,3,0.17,20.00,5,2021
230,108,Douglas-Powell,AUS,1,0,0,1.00,100.00,1,2021
231,108,Komenda,POL,1,0,0,0.33,100.00,1,2021
232,109,Diez,FRA,0,0,0,,,0,2021
233,109,Stankov,BUL,0,0,0,,,0,2021
234,109,V. Ivanov,BUL,0,0,0,,,0,2021
235,109,M. Ivanov,BUL,0,0,0,,,0,2021
236,109,Zenger,GER,0,0,0,,,0,2021
237,109,Burggräf,GER,0,0,0,,,0,2021
238,109,Perry,AUS,0,0,0,,,0,2021
239,109,Flowerday,AUS,0,2,0,0.00,0.00,2,2021
240,109,Greber,AUS,0,0,0,,,0,2021
241,109,Yamamoto,JPN,0,0,0,,,0,2021
242,109,Ogawa,JPN,0,0,0,,,0,2021
243,109,Hazrat,IRI,0,0,0,,,0,2021
244,109,Arman,IRI,0,0,0,,,0,2021
245,109,Kapur,SRB,0,0,0,,,0,2021
246,109,Pekovic,SRB,0,0,0,,,0,2021
247,109,Batak,SRB,0,0,0,,,0,2021
248,109,Vinčić,SLO,0,2,0,0.00,0.00,2,2021
249,109,Klobucar,SLO,0,0,1,0.00,0.00,1,2021
250,109,Kovačič,SLO,0,0,0,,,0,2021
251,109,Dronkers,NED,0,0,0,,,0,2021
252,109,Ottevanger,NED,0,0,0,,,0,2021
253,109,Baranov,RUS,0,0,0,,,0,2021
254,109,Golubev,RUS,0,0,0,,,0,2021
255,109,Watten,USA,0,0,0,,,0,2021
256,109,E. Shoji,USA,0,0,0,,,0,2021
257,109,Pereira,CAN,0,0,0,,,0,2021
258,109,Bann,CAN,0,0,0,,,0,2021
259,109,Wojtaszek,POL,0,0,0,,,0,2021
260,109,Zatorski,POL,0,0,0,,,0,2021
261,109,Balaso,ITA,0,0,0,,,0,2021
262,109,Scanferla,ITA,0,0,0,,,0,2021
263,109,Federici,ITA,0,0,0,,,0,2021
264,109,Maique,BRA,0,0,0,,,0,2021
265,109,Thales,BRA,0,0,0,,,0,2021
266,109,Roque,BRA,0,0,4,0.00,0.00,4,2021
267,109,Macdonald,AUS,0,0,0,,,0,2021
268,109,Janusz,POL,0,0,0,,,0,2021
269,109,Vucicevic,SRB,0,1,0,0.00,0.00,1,2021
270,109,Oya,JPN,0,1,0,0.00,0.00,1,2021
271,109,Massimino,ARG,0,0,0,,,0,2021
272,109,Grebennikov,FRA,0,0,0,,,0,2021
273,109,Pernuš,SLO,0,0,0,,,0,2021
274,109,Maase,GER,0,0,3,0.00,0.00,3,2021
275,109,Danani,ARG,0,0,0,,,0,2021
276,109,Iakovlev,RUS,0,0,0,,,0,2021
277,1,Nimir,NED,207,60,143,15.92,50.49,410,2022
278,2,Amin,IRI,190,56,105,14.62,54.13,351,2022
279,3,Russell,USA,162,46,116,10.80,50.00,324,2022
280,3,Nishida,JPN,162,52,81,12.46,54.92,295,2022
281,4,Defalco,USA,157,40,88,14.27,55.09,285,2022
282,5,A. Nikolov,BUL,150,43,97,12.50,51.72,290,2022
283,6,Ensing,USA,143,37,89,9.53,53.16,269,2022
284,7,Zhang J.Y.,CHN,140,49,73,14.00,53.44,262,2022
285,8,Maar,CAN,139,48,129,11.58,43.99,316,2022
286,9,Lima B.,ARG,136,44,89,11.33,50.56,269,2022
287,10,Pope,AUS,134,38,70,11.17,55.37,242,2022
288,11,Palacios,ARG,130,27,108,10.83,49.06,265,2022
289,12,Lavia,ITA,125,25,103,11.36,49.41,253,2022
290,13,Možič,SLO,123,37,93,10.25,48.62,253,2022
291,14,Ishikawa,JPN,122,34,92,10.17,49.19,248,2022
292,15,Romanò,ITA,120,40,98,8.00,46.51,258,2022
293,16,Atanasov,BUL,117,40,98,9.75,45.88,255,2022
294,17,Ngapeth,FRA,116,28,74,8.29,53.21,218,2022
295,18,Patry,FRA,115,26,98,8.21,48.12,239,2022
296,19,Milad,IRI,114,36,87,8.77,48.10,237,2022
297,20,Kurek,POL,111,30,73,10.09,51.87,214,2022
298,21,Perić,SRB,109,39,89,9.08,45.99,237,2022
299,22,Fromm,GER,107,35,111,9.73,42.29,253,2022
300,23,Weber,GER,106,48,79,13.25,45.49,233,2022
301,24,Esfandiar,IRI,101,31,73,7.77,49.27,205,2022
302,25,Michieletto,ITA,100,31,75,9.09,48.54,206,2022
303,25,Leal,BRA,100,24,66,11.11,52.63,190,2022
304,26,Tuinstra,NED,99,32,94,7.62,44.00,225,2022
305,27,Kujundžić,SRB,98,39,58,8.17,50.26,195,2022
306,27,Alan,BRA,98,22,59,14.00,54.75,179,2022
307,28,Loser Bruno,ARG,95,17,51,7.92,58.28,163,2022
308,29,Boyer,FRA,89,22,63,6.36,51.15,174,2022
309,29,Atanasijević,SRB,89,33,47,11.12,52.66,169,2022
310,30,Semeniuk,POL,86,18,74,7.82,48.31,178,2022
311,31,Sclater,CAN,83,23,61,6.92,49.70,167,2022
312,32,Zhang G.H.,CHN,79,28,64,7.90,46.20,171,2022
313,32,Jendryk,USA,79,7,34,5.27,65.83,120,2022
314,33,T. Štern,SLO,78,44,44,7.80,46.99,166,2022
315,33,Flavio,BRA,78,11,37,6.00,61.90,126,2022
316,34,Reichert,GER,77,18,61,7.00,49.36,156,2022
317,34,Fornal,POL,77,16,52,5.13,53.10,145,2022
318,35,Palonsky,ARG,76,19,58,6.33,49.67,153,2022
319,36,Chinenyeze,FRA,75,7,30,5.36,66.96,112,2022
320,36,Lucarelli,BRA,75,23,48,8.33,51.37,146,2022
321,36,Darlan,BRA,75,24,42,8.33,53.19,141,2022
322,37,Parapunov,BUL,72,44,63,6.00,40.22,179,2022
323,37,Clevenot,FRA,72,12,57,7.20,51.06,141,2022
324,38,Maase,GER,70,16,70,7.78,44.87,156,2022
325,39,Ran,JPN,69,23,58,5.31,46.00,150,2022
326,39,Louati,FRA,69,27,58,4.93,44.81,154,2022
327,40,Smith,USA,67,11,28,4.47,63.21,106,2022
328,41,Ter Horst,NED,66,22,41,5.50,51.16,129,2022
329,42,Otsuka,JPN,65,19,60,5.00,45.14,144,2022
330,43,Vicentin,ARG,63,34,55,5.25,41.45,152,2022
331,44,Yamauchi,JPN,62,11,37,4.77,56.36,110,2022
332,45,Galassi,ITA,60,10,34,4.00,57.69,104,2022
333,45,Loeppky,CAN,60,27,54,7.50,42.55,141,2022
334,46,Śliwka,POL,59,9,48,5.36,50.86,116,2022
335,47,Kolev,BUL,58,11,19,4.83,65.91,88,2022
336,47,Heptinstall,AUS,58,33,56,4.83,39.46,147,2022
337,48,Yu Y.T.,CHN,57,21,49,5.70,44.88,127,2022
338,48,Plak,NED,57,6,25,4.38,64.77,88,2022
339,49,Graham,AUS,56,10,34,4.67,56.00,100,2022
340,50,Krick,GER,55,13,32,5.00,55.00,100,2022
341,51,Pajenk,SLO,54,9,26,4.50,60.67,89,2022
342,51,Brand,GER,54,14,69,4.91,39.42,137,2022
343,51,Kochanowski,POL,54,10,27,3.60,59.34,91,2022
344,52,Bieniek,POL,53,10,22,4.82,62.35,85,2022
345,53,Toukhteh,IRI,52,11,22,4.00,61.18,85,2022
346,53,Mašulović N.,SRB,52,5,29,4.33,60.47,86,2022
347,54,Z. Štern,SLO,50,22,38,4.17,45.45,110,2022
348,55,Isac,BRA,47,4,24,3.62,62.67,75,2022
349,56,Weir,AUS,46,4,28,5.75,58.97,78,2022
350,56,Urnaut,SLO,46,12,47,5.75,43.81,105,2022
351,57,Peng S.K.,CHN,45,12,21,5.00,57.69,78,2022
352,57,Kozamernik,SLO,45,7,21,3.75,61.64,73,2022
353,57,Howe,CAN,45,13,21,3.75,56.96,79,2022
354,57,Bottolo,ITA,45,23,40,3.00,41.67,108,2022
355,58,Gotsev,BUL,44,6,22,3.67,61.11,72,2022
356,58,Butryn,POL,44,17,12,4.00,60.27,73,2022
357,59,Li Y.Z.,CHN,43,14,13,4.30,61.43,70,2022
358,59,Onodera,JPN,43,7,23,3.31,58.90,73,2022
359,60,Meljanac,SRB,42,18,19,5.25,53.16,79,2022
360,60,Petkovic,SRB,42,25,28,10.50,44.21,95,2022
361,61,Morteza,IRI,40,14,19,3.08,54.79,73,2022
362,61,Lisinac,SRB,40,4,12,5.00,71.43,56,2022
363,62,Miyaura,JPN,39,13,32,4.33,46.43,84,2022
364,62,Jorna,NED,39,22,43,3.00,37.50,104,2022
365,62,Kłos,POL,39,7,10,2.60,69.64,56,2022
366,62,Čebulj,SLO,39,16,34,9.75,43.82,89,2022
367,63,Lucas,BRA,38,7,21,4.75,57.58,66,2022
368,64,Karyagin,BUL,37,22,23,3.08,45.12,82,2022
369,64,Asparuhov,BUL,37,17,32,3.08,43.02,86,2022
370,64,Kwolek,POL,37,11,24,4.62,51.39,72,2022
371,65,Krage,GER,36,11,17,3.27,56.25,64,2022
372,65,Recine,ITA,36,13,31,5.14,45.00,80,2022
373,66,Rodriguinho,BRA,35,12,35,2.69,42.68,82,2022
374,66,Takanashi,JPN,35,15,25,3.89,46.67,75,2022
375,67,Adriano,BRA,34,9,28,2.62,47.89,71,2022
376,67,Le Goff,FRA,34,5,27,3.40,51.52,66,2022
377,67,Wang J.Y.,CHN,34,17,18,5.67,49.28,69,2022
378,68,Hanes,USA,33,8,28,4.12,47.83,69,2022
